True Croatia,"[0.00000000e+00 2.44627790e-05 7.33883371e-05 7.33883371e-05
 1.22313895e-04 1.46776674e-04 1.71239453e-04 1.71239453e-04
 2.20165011e-04 2.44627790e-04 2.44627790e-04 2.69090569e-04
 2.93553348e-04 2.93553348e-04 2.93553348e-04 3.42478906e-04
 4.64792801e-04 4.64792801e-04 7.82808929e-04 9.29585603e-04
 1.19867617e-03 1.39437840e-03 1.59008064e-03 1.98148510e-03
 2.56859180e-03 3.13123572e-03 5.03933248e-03 6.21354587e-03
 7.70577539e-03 9.34478159e-03 1.08125483e-02 1.21090756e-02
 1.43351885e-02 1.60720458e-02 1.74419614e-02 1.93255954e-02
 2.12092294e-02 2.35576562e-02 2.47318696e-02 2.63953386e-02
 2.75450892e-02 2.89150048e-02 2.98935160e-02 3.13612827e-02
 3.28535122e-02 3.44191301e-02 3.65718546e-02 3.75259030e-02
 3.91404464e-02 4.03635854e-02 4.16845755e-02 4.25896983e-02
 4.38128372e-02 4.43754812e-02 4.48158112e-02 4.57698596e-02
 4.60144873e-02 4.66749824e-02 4.77024191e-02 4.84607652e-02
 4.91457231e-02 4.93169625e-02 4.96594414e-02 4.98796064e-02
 5.00753087e-02 5.04422504e-02 5.07847293e-02 5.10048943e-02
 5.10782826e-02 5.12739848e-02]"
True Cyprus,"[0.         0.00016817 0.00025226 0.00050451 0.00050451 0.0011772
 0.00218622 0.00218622 0.00277482 0.00386794 0.00412019 0.00563373
 0.00563373 0.00706319 0.00798813 0.00975392 0.01042661 0.01109929
 0.01227649 0.01362186 0.01505131 0.01799431 0.01933968 0.02203041
 0.02690738 0.02993446 0.03329788 0.03582044 0.03750215 0.03909978
 0.04153826 0.044229   0.04742425 0.0500309  0.0517967  0.05322615
 0.05566463 0.05843946 0.06012117 0.06180288 0.06306416 0.0639891
 0.06449362 0.06491404 0.06592307 0.06642758 0.06684801 0.06760478
 0.06810929 0.06869789 0.06911832 0.0703796  0.07088412 0.07147272
 0.07206132 0.07264991 0.0733226 ]"
True Denmark,"[0.00000000e+00 1.72603180e-05 1.72603180e-05 5.17809541e-05
 6.90412722e-05 6.90412722e-05 1.03561908e-04 1.89863499e-04
 1.89863499e-04 4.14247633e-04 4.14247633e-04 6.38631768e-04
 1.58794926e-03 4.55672396e-03 7.66358121e-03 1.06496162e-02
 1.38772957e-02 1.44296259e-02 1.51027783e-02 1.61038767e-02
 1.76918260e-02 1.92625149e-02 2.11438896e-02 2.30770452e-02
 2.45096516e-02 2.61321215e-02 2.71332200e-02 2.96532264e-02
 3.21387122e-02 3.49176234e-02 3.79726997e-02 4.08379125e-02
 4.42554555e-02 4.75521762e-02 5.24541065e-02 5.67864464e-02
 6.16711164e-02 6.81092150e-02 7.36842977e-02 7.87243106e-02
 8.41440505e-02 9.08928348e-02 9.66060001e-02 1.00627654e-01
 1.03803553e-01 1.06858629e-01 1.09930966e-01 1.12416451e-01
 1.15747693e-01 1.18681947e-01 1.22099490e-01 1.25447992e-01
 1.28364985e-01 1.30833211e-01 1.33094312e-01 1.36201170e-01
 1.39946659e-01 1.42760091e-01 1.45124754e-01 1.49180929e-01
 1.51424770e-01 1.53547789e-01 1.56188618e-01 1.58898488e-01
 1.61487536e-01 1.64128364e-01 1.65785355e-01 1.67787552e-01]"
True Dominican Republic,"[0.00000000e+00 9.40984731e-06 9.40984731e-06 9.40984731e-06
 9.40984731e-06 9.40984731e-06 1.88196946e-05 1.88196946e-05
 4.70492366e-05 4.70492366e-05 4.70492366e-05 4.70492366e-05
 4.70492366e-05 4.70492366e-05 1.03508320e-04 1.03508320e-04
 1.03508320e-04 1.97606794e-04 1.97606794e-04 3.19934809e-04
 6.77509006e-04 1.05390290e-03 1.90078916e-03 2.30541259e-03
 2.93587236e-03 3.68866015e-03 4.59200549e-03 5.46712129e-03
 6.76568022e-03 8.08305884e-03 8.47827243e-03 1.04355207e-02
 1.20822439e-02 1.29855893e-02 1.40018528e-02 1.40018528e-02
 1.64201836e-02 1.72012009e-02 1.84056613e-02 1.98641877e-02
 2.21037313e-02 2.46538000e-02 2.59617687e-02 2.79190170e-02
 2.98009864e-02 3.09207583e-02 3.40071882e-02 3.53339767e-02
 3.88250300e-02 4.07916881e-02 4.40380854e-02 4.67104821e-02
 4.74632698e-02 4.98721907e-02 5.21587836e-02 5.40972122e-02
 5.57627552e-02 5.77294133e-02 5.92161691e-02 6.03735803e-02
 6.25943043e-02 6.56054555e-02 6.85789672e-02 7.13078229e-02
 7.48459255e-02]"
True Ecuador,"[0.00000000e+00 3.51198468e-05 3.51198468e-05 4.09731546e-05
 5.85330779e-05 7.60930013e-05 7.60930013e-05 7.60930013e-05
 8.19463091e-05 8.77996169e-05 8.77996169e-05 9.95062325e-05
 9.95062325e-05 9.95062325e-05 1.63892618e-04 1.63892618e-04
 2.16572388e-04 3.39491852e-04 6.49717165e-04 1.16480825e-03
 2.14816396e-03 2.96177374e-03 4.61825985e-03 5.74209495e-03
 6.33327903e-03 6.86593004e-03 8.21219084e-03 9.33602593e-03
 1.06705801e-02 1.12617642e-02 1.14841899e-02 1.31114095e-02
 1.60848898e-02 1.85140126e-02 1.97139407e-02 2.02817115e-02
 2.13411602e-02 2.19323443e-02 2.19323443e-02 2.60472197e-02
 2.90616732e-02 4.19155371e-02 4.24774547e-02 4.37007960e-02
 4.40695544e-02 4.45026992e-02 4.59952927e-02 4.81434566e-02
 4.94604509e-02 5.28085429e-02 5.54191182e-02 5.92823013e-02
 6.08626945e-02 6.35083896e-02 6.54575411e-02 1.32981300e-01
 1.32981300e-01 1.32981300e-01 1.36030873e-01 1.41989540e-01
 1.44430370e-01 1.45946377e-01 1.54152714e-01 1.60755245e-01
 1.72895006e-01]"
True El Salvador,"[0.00000000e+00 1.55745191e-05 1.55745191e-05 4.67235573e-05
 4.67235573e-05 4.67235573e-05 7.78725954e-05 1.40170672e-04
 2.02468748e-04 2.02468748e-04 2.95915863e-04 3.73788458e-04
 4.67235573e-04 4.98384611e-04 4.98384611e-04 6.38555283e-04
 7.16427878e-04 8.72173069e-04 9.65620184e-04 1.07464182e-03
 1.21481249e-03 1.44843028e-03 1.60417547e-03 1.82221873e-03
 1.83779325e-03 1.94681489e-03 2.13370912e-03 2.32060334e-03
 2.47634854e-03 2.55422113e-03 2.75668988e-03 2.95915863e-03
 3.13047834e-03 3.39524516e-03 3.50426680e-03 3.69116102e-03
 3.89362977e-03 4.26741823e-03 4.26741823e-03 4.64120669e-03
 5.03056967e-03 5.37320909e-03 5.87159370e-03 6.15193504e-03
 6.60359609e-03 6.94623551e-03 7.63151435e-03]"
True Estonia,"[0.00000000e+00 7.56442813e-05 7.56442813e-05 7.56442813e-05
 7.56442813e-05 7.56442813e-05 1.51288563e-04 1.51288563e-04
 2.26932844e-04 7.56442813e-04 7.56442813e-04 7.56442813e-04
 7.56442813e-04 9.07731375e-04 1.21030850e-03 1.21030850e-03
 5.97589822e-03 8.69909234e-03 1.29351721e-02 1.55070777e-02
 1.70199633e-02 1.95162246e-02 2.01970231e-02 2.14073316e-02
 2.31471501e-02 2.46600357e-02 2.66267870e-02 2.79127398e-02
 3.05602896e-02 4.06966233e-02 4.34954617e-02 4.87905614e-02
 5.13624670e-02 5.40856611e-02 5.63549895e-02 5.89268951e-02
 6.49027933e-02 7.26941543e-02 7.85944082e-02 8.29817765e-02
 8.38138636e-02 8.69152792e-02 8.96384733e-02 9.13026475e-02
 9.51605058e-02 9.86401428e-02 9.90183642e-02 1.00758183e-01
 1.03859598e-01 1.05901994e-01 1.08473899e-01 1.10365006e-01
 1.14374153e-01 1.15584462e-01 1.16113972e-01 1.17399925e-01
 1.17929434e-01 1.20425696e-01 1.21409071e-01 1.23678400e-01
 1.24283554e-01 1.24586131e-01 1.25569507e-01 1.26023373e-01
 1.27763191e-01 1.28141412e-01 1.28519634e-01 1.28595278e-01]"
True Finland,"[0.00000000e+00 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 1.81306403e-05 1.81306403e-05 1.81306403e-05
 1.81306403e-05 3.62612807e-05 3.62612807e-05 3.62612807e-05
 5.43919210e-05 1.08783842e-04 1.08783842e-04 1.08783842e-04
 1.08783842e-04 2.17567684e-04 2.71959605e-04 2.71959605e-04
 4.17004728e-04 5.43919210e-04 7.25225613e-04 1.06970778e-03
 1.06970778e-03 2.81024925e-03 4.07939407e-03 4.42387624e-03
 5.02218737e-03 5.81993555e-03 6.09189515e-03 7.25225613e-03
 8.15878815e-03 9.48232489e-03 1.13497808e-02 1.26914482e-02
 1.43594671e-02 1.59549635e-02 1.73691534e-02 1.88739966e-02
 2.11584573e-02 2.24819940e-02 2.45126257e-02 2.57092480e-02
 2.62169059e-02 2.75223120e-02 2.92809841e-02 3.41218651e-02
 3.49377439e-02 3.94522734e-02 4.18455179e-02 4.50909025e-02
 4.72303181e-02 5.02037431e-02 5.26695102e-02 5.39205243e-02
 5.55522820e-02 5.73109541e-02 5.86888827e-02 6.10821273e-02
 6.32578041e-02 6.67388871e-02 6.85882124e-02 7.01293168e-02
 7.27763903e-02 7.48614139e-02 7.76716632e-02 7.96841642e-02
 8.11346155e-02 8.29658101e-02 8.51233563e-02 8.59392352e-02
 8.89489215e-02 9.05625484e-02 9.15778643e-02 9.38441943e-02
 9.52583843e-02]"
True France,"[0.00000000e+00 2.98609494e-06 4.47914240e-06 4.47914240e-06
 4.47914240e-06 5.97218987e-06 7.46523734e-06 7.46523734e-06
 7.46523734e-06 8.95828481e-06 8.95828481e-06 8.95828481e-06
 8.95828481e-06 8.95828481e-06 8.95828481e-06 8.95828481e-06
 1.64235221e-05 1.64235221e-05 1.64235221e-05 1.64235221e-05
 1.64235221e-05 1.64235221e-05 1.64235221e-05 1.79165696e-05
 1.79165696e-05 1.79165696e-05 1.79165696e-05 1.79165696e-05
 1.79165696e-05 1.79165696e-05 1.79165696e-05 1.79165696e-05
 1.79165696e-05 2.09026645e-05 2.68748544e-05 5.67358038e-05
 8.51037057e-05 1.49304747e-04 1.94096171e-04 2.85172066e-04
 3.04581683e-04 4.29997671e-04 5.67358038e-04 9.79439139e-04
 1.43183252e-03 1.69610192e-03 1.82002486e-03 2.67852716e-03
 3.42355784e-03 3.42355784e-03 5.49590773e-03 6.71274141e-03
 6.76649112e-03 9.97803623e-03 1.15188612e-02 1.36225651e-02
 1.63787307e-02 1.90482996e-02 2.15939455e-02 2.42515700e-02
 3.00445942e-02 3.37757198e-02 3.82220152e-02 4.41210457e-02
 4.98707715e-02 5.68925738e-02 6.07789763e-02 6.74409541e-02
 7.88732186e-02 8.62219982e-02 8.94768417e-02 9.73496810e-02
 1.03766799e-01 1.06621506e-01 1.12490675e-01 1.18194117e-01
 1.24008044e-01 1.30441585e-01 1.36969189e-01 1.41634962e-01
 1.81721793e-01 1.87219194e-01 1.94641133e-01 1.99448746e-01
 2.18096909e-01 2.21096441e-01 2.21099427e-01 2.28452686e-01
 2.32009125e-01 2.36152332e-01 2.32885544e-01 2.36353893e-01
 2.38815929e-01 2.41342165e-01 2.42202160e-01 2.47790637e-01
 2.52404154e-01 2.48656604e-01 2.49785348e-01 2.49794307e-01
 2.51605373e-01 2.52213043e-01]"
True Georgia,"[0.00000000e+00 2.68344788e-05 2.68344788e-05 2.68344788e-05
 2.68344788e-05 8.05034363e-05 8.05034363e-05 8.05034363e-05
 8.05034363e-05 1.07337915e-04 1.07337915e-04 1.07337915e-04
 3.48848224e-04 4.02517181e-04 4.02517181e-04 6.44027490e-04
 6.44027490e-04 6.70861969e-04 8.05034363e-04 8.85537799e-04
 8.85537799e-04 9.12372278e-04 1.01971019e-03 1.07337915e-03
 1.15388259e-03 1.31488946e-03 1.44906185e-03 1.63690320e-03
 1.87841351e-03 2.01258591e-03 2.11992382e-03 2.22726174e-03
 2.41510309e-03 2.44193757e-03 2.76395131e-03 2.95179266e-03
 3.13963402e-03 3.59582015e-03 4.15934421e-03 4.34718556e-03
 4.66919930e-03 5.04488201e-03 5.25955784e-03 5.66207502e-03
 5.84991637e-03 6.27926803e-03 6.49394386e-03 6.89646104e-03
 7.29897822e-03 8.05034363e-03 8.21135050e-03 9.33839861e-03
 9.92875714e-03 1.04117778e-02 1.05727846e-02 1.07874605e-02
 1.09484673e-02 1.11631432e-02 1.14046535e-02 1.19145086e-02
 1.22365223e-02 1.30415567e-02 1.33367359e-02 1.37124186e-02
 1.38734255e-02 1.44637841e-02 1.51883150e-02 1.56176666e-02
 1.58055080e-02]"
True Germany,"[0.00000000e+00 1.20618849e-06 4.82475396e-06 4.82475396e-06
 4.82475396e-06 6.03094245e-06 9.64950792e-06 1.20618849e-05
 1.44742619e-05 1.44742619e-05 1.44742619e-05 1.44742619e-05
 1.56804504e-05 1.56804504e-05 1.68866389e-05 1.68866389e-05
 1.92990158e-05 1.92990158e-05 1.92990158e-05 1.92990158e-05
 1.92990158e-05 1.92990158e-05 1.92990158e-05 1.92990158e-05
 1.92990158e-05 1.92990158e-05 1.92990158e-05 1.92990158e-05
 1.92990158e-05 1.92990158e-05 2.05052043e-05 3.25670892e-05
 5.54846705e-05 5.78970475e-05 9.52888907e-05 1.56804504e-04
 1.91783970e-04 2.36412944e-04 3.16021384e-04 5.81382852e-04
 8.08146288e-04 9.63744603e-04 1.25443603e-03 1.41847766e-03
 1.75741663e-03 2.30140764e-03 2.50645968e-03 4.43274270e-03
 5.53037423e-03 6.98986230e-03 8.77140270e-03 1.11656869e-02
 1.48686855e-02 1.84788077e-02 2.39404291e-02 2.67930649e-02
 3.00015263e-02 3.50470128e-02 3.97873335e-02 4.50185730e-02
 5.29975099e-02 6.13600147e-02 6.95910449e-02 7.48982743e-02
 8.06759172e-02 8.66139831e-02 9.39283101e-02 1.02277547e-01
 1.09954937e-01 1.15905064e-01 1.20767210e-01 1.24688529e-01
 1.29861871e-01 1.36656331e-01 1.42548562e-01 1.47361254e-01
 1.50662592e-01 1.54216023e-01 1.56891349e-01 1.58443714e-01
 1.62537518e-01 1.66089743e-01 1.70551434e-01 1.72897471e-01
 1.75119270e-01 1.77388110e-01 1.78866897e-01 1.81709884e-01
 1.84702437e-01 1.86958010e-01 1.88784179e-01 1.90300358e-01
 1.91492072e-01 1.92884014e-01 1.94846482e-01 1.96619580e-01
 1.97907789e-01 1.98981297e-01 1.99822010e-01]"
